# Gene lists for GeneChat seed data pipeline
# Columns: symbol, category
# Categories: acmg_sf, cancer, cardiac, neuro, carrier, pgx, metabolic, immune, gwas, trait, existing
# Source: ACMG SF v3.2 (2023), CPIC, ClinGen, OMIM, PGS Catalog
# ~400 genes organized by clinical category
symbol	category
CDKN2A	gwas
CDKN2B	gwas
PHACTR1	gwas
LPA	gwas
CXCL12	gwas
SH2B3	gwas
WDR12	gwas
ZC3HC1	gwas
ADAMTS7	gwas
MRAS	gwas
HHIPL1	gwas
TCF21	gwas
ABO	gwas
FLT1	gwas
SMARCA4	gwas
FN1	gwas
ANKRD55	gwas
LDAH	gwas
TERT	gwas
MTHFD1L	gwas
EDNRA	gwas
CYP17A1	gwas
ZPR1	gwas
BRAP	gwas
UBE2Z	gwas
COL4A1	gwas
COL4A2	gwas
SWAP70	gwas
VAMP5	gwas
# === Trait genes (15 genes, referenced by trait_variants) ===
FTO	trait
MCM6	trait
LCT	trait
FADS1	trait
FADS2	trait
MTHFR	trait
APOA2	trait
TAS2R38	trait
ACTN3	trait
COL1A1	trait
COL5A1	trait
PPARGC1A	trait
IL6	trait
TNF	trait
ADH1B	trait
ALDH2	trait
F5	trait
F2	trait
APOE	trait
# === Additional genes referenced by other seed files but not yet in above categories ===
# (These are in existing data and need coordinates)
NBPF3	trait
PPARA	trait
CLOCK	trait
ADA	trait
MTNR1B	trait
MC1R	trait
SLC45A2	trait
HERC2	trait
GC	trait
FUT2	trait
FOXO3	trait
CDKN2B-AS1	trait
